;<hmm name>;;;
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-8;(PLoS_CB_2010)
#=ID;Hormone_recep;(Pfam);Hormone_recep_LIG_10-13;(PLoS_CB_2010)
#=ID;PWWP;(Pfam);PWWP_LIG_0-0;(PLoS_CB_2010)
#=ID;PWWP;(Pfam);PWWP_LIG_0-28;(PLoS_CB_2010)
#=ID;EF-hand_7;(Pfam);EF-hand_7_LIG_3-0;(PLoS_CB_2010)
#=ID;EF-hand_7;(Pfam);EF-hand_7_LIG_3-12;(PLoS_CB_2010)
#=ID;EF-hand_7;(Pfam);EF-hand_7_LIG_3-4;(PLoS_CB_2010)
#=ID;EF-hand_7;(Pfam);EF-hand_7_LIG_3-3;(PLoS_CB_2010)
#=ID;EF-hand_7;(Pfam);EF-hand_7_LIG_3-8;(PLoS_CB_2010)
#=ID;EF-hand_7;(Pfam);EF-hand_7_LIG_3-1;(PLoS_CB_2010)
#=ID;EF-hand_7;(Pfam);EF-hand_7_LIG_3-11;(PLoS_CB_2010)
#=ID;EF-hand_7;(Pfam);EF-hand_7_LIG_3-16;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_3-0;(PLoS_CB_2010)
#=ID;DNA_RNApol_7kD;(Pfam);DNA_RNApol_7kD_LIG_1-0;(PLoS_CB_2010)
#=ID;Cupin_8;(Pfam);Cupin_8_LIG_0-0;(PLoS_CB_2010)
#=ID;Cupin_8;(Pfam);Cupin_8_LIG_0-67;(PLoS_CB_2010)
#=ID;Cupin_8;(Pfam);Cupin_8_LIG_0-46;(PLoS_CB_2010)
#=ID;Cupin_8;(Pfam);Cupin_8_LIG_0-2;(PLoS_CB_2010)
#=ID;Cupin_8;(Pfam);Cupin_8_LIG_0-1;(PLoS_CB_2010)
#=ID;Insulin;(Pfam);Insulin_LIG_6-0;(PLoS_CB_2010)
#=ID;Insulin;(Pfam);Insulin_LIG_6-3;(PLoS_CB_2010)
